,English,Français
0,A condition for a Shipping Rule,Une condition pour une Règle de Livraison
1,A Customer Group exists with same name please change the Customer name or rename the Customer Group,"Un Groupe de Clients existe avec le même nom, veuillez changer le nom du Client ou renommer le Groupe de Clients"
2,A Lead with this Email Address should exist,Un Prospect avec cette Adresse Email devrait exister
3,A log of request errors,Un journal des erreurs de requête
4,A logical Warehouse against which stock entries are made.,Un Entrepôt logique dans lequel les entrées en stock sont faites.
5,A new account has been created for you at {0},Un nouveau compte a été créé pour vous à {0}
6,"A new task, {0}, has been assigned to you by {1}. {2}","Une nouvelle tâche, {0}, vous a été attribuée par {1}. {2}"
7,"A Product or a Service that is bought, sold or kept in stock.","Un Produit ou un Service qui est acheté, vendu ou conservé en stock."
8,A Product or Service,Un Produit ou Service
9,A symbol for this currency. For e.g. $,Un symbole pour cette monnaie. Par exemple $
10,A third party distributor / dealer / commission agent / affiliate / reseller who sells the companies products for a commission.,Un tiers distributeur / commerçant / commissionnaire / affilié / revendeur qui vend les produits de l'entreprise en échange d'une commission.
11,"A user with ""Expense Approver"" role","Un utilisateur avec le rôle ""Approbateur des Frais"""
12,A word by itself is easy to guess.,Un mot unique est facile à deviner.
13,A-,A-
14,A+,A +
15,A4,A4
16,AB-,AB-
17,AB+,AB+
18,Abbr,Abré
19,Abbr can not be blank or space,Abré. ne peut être vide ou contenir un espace
20,Abbreviation,Abréviation
21,Abbreviation {0} already used for another salary component,L'abréviation {0} est déjà utilisé pour un autre volet salarial
22,Abbreviation already used for another company,Abréviation déjà utilisée pour une autre société
23,Abbreviation cannot have more than 5 characters,L'abbréviation ne peut pas avoir plus de 5 caractères
24,Abbreviation is mandatory,Abréviation est obligatoire
25,About,À propos
26,About Us Settings,Paramétrages À Propos
27,About Us Team Member,À propos du Membre de l'équipe
28,Above,Au-dessus
29,Absent,Absent
30,Absent Student Report,Rapport des Absences
31,Academic,Académique
32,Academic Term,Terme Académique
33,Academic Year,Année Académique
34,Academic Year Name,Nom de l'Année Académique
35,Academics User,Utilisateur académique
36,Accept Payment,Accepter Paiement
37,Acceptance Criteria,Critères d'Acceptation
38,Accepted + Rejected Qty must be equal to Received quantity for Item {0},La Qté Acceptée + Rejetée doit être égale à la quantité Reçue pour l'Article {0}
39,Accepted Quantity,Quantité Acceptée
40,Accepted Warehouse,Entrepôt Accepté
41,Access Token,Jeton d'Accès
42,Account {0} does not belong to company: {1},Le compte {0} n'appartient pas à la société : {1}
43,Account {0} does not belongs to company {1},Le compte {0} n'appartient pas à la société {1}
44,Account {0} does not exists,Le compte {0} n'existe pas
45,Account {0} has been entered multiple times,Le compte {0} a été entré plusieurs fois
46,Account {0} is frozen,Le compte {0} est gelé
47,Account {0} is invalid. Account Currency must be {1},Le compte {0} est invalide. La Devise du Compte doit être {1}
48,Account {0}: Parent account {1} can not be a ledger,Compte {0}: Le Compte parent {1} ne peut pas être un grand livre
49,Account {0}: Parent account {1} does not belong to company: {2},Compte {0}: Le Compte parent {1} n'appartient pas à l'entreprise: {2}
50,Account {0}: Parent account {1} does not exist,Compte {0}: Le Compte parent {1} n'existe pas
51,Account {0}: You can not assign itself as parent account,Compte {0}: Vous ne pouvez pas assigner un compte comme son propre parent
52,Account Balance,Solde du Compte
53,Account balance ({0}) and stock value ({1}) must be same,Le solde du compte ({0}) et la valeur des actions ({1}) doit être le même
54,"Account balance already in Credit, you are not allowed to set 'Balance Must Be' as 'Debit'","Le solde du compte est déjà Créditeur, vous n'êtes pas autorisé à mettre en 'Solde Doit Être' comme 'Débiteur'"
55,"Account balance already in Debit, you are not allowed to set 'Balance Must Be' as 'Credit'","Le solde du compte est déjà débiteur, vous n'êtes pas autorisé à définir 'Solde Doit Être' comme 'Créditeur'"
56,Account Currency,Compte Devise
57,Account does not match with Company,Compte ne correspond pas avec la Société
58,Account for Change Amount,Compte pour le Rendu de Monnaie
59,Account for the warehouse (Perpetual Inventory) will be created under this Account.,Compte de l'entrepôt (de l'Inventaire Permanent) sera créé sous ce compte.
60,Account Head,Compte Principal
61,Account head {0} created,Le compte principal {0} a été crée
62,Account Info,Information du Compte
63,Account Name,Nom du Compte
64,Account Paid From,Compte Payé Du
65,Account Paid To,Compte Payé Au
66,Account Pay Only,Compte Bénéficiaire Seulement
67,Account Type,Type de Compte
68,Account Type for {0} must be {1},Le Type de Compte pour {0} doit être {1}
69,Account with child nodes cannot be converted to ledger,Un compte avec des enfants ne peut pas être converti en grand livre
70,Account with child nodes cannot be set as ledger,Les comptes avec des nœuds enfants ne peuvent pas être défini comme grand livre
71,Account with existing transaction can not be converted to group.,Un compte contenant une transaction ne peut pas être converti en groupe
72,Account with existing transaction can not be deleted,Un compte contenant une transaction ne peut pas être supprimé
73,Account with existing transaction cannot be converted to ledger,Un compte contenant une transaction ne peut pas être converti en grand livre
74,Account: {0} can only be updated via Stock Transactions,Compte : {0} peut uniquement être mis à jour via les Mouvements de Stock
75,Account: {0} with currency: {1} can not be selected,Compte : {0} avec la devise : {1} ne peut pas être sélectionné
76,Accountant,Comptable
