,English,Français,Commentaires
0,Backflush Raw Materials Based On,Enregistrer les Matières Premières sur la Base de,
1,Background Email Queue,File d’Attente d’Email en Arrière-Plan,
2,Background Workers,Exécution d'Opérations en Arrière-Plan,
3,Backup Frequency,Fréquence de Sauvegarde,
4,ban-circle,Interdiction(ban-circle),Nom d’icône font-awesome
5,Bank Draft,Traite Bancaire,
6,Bank Entry,Entrée Bancaire,
7,Bank Overdraft Account,Compte de Découvert Bancaire,
8,Bank Reconciliation Statement,Relevé de Réconciliation Bancaire,
9,Bank Statement balance as per General Ledger,Solde du Relevé Bancaire d’après le Grand Livre,
10,Bank Transaction Reference,Référence de Transaction Bancaire,
11,Bank/Cash transactions against party or for internal transfer,Transactions Bancaires/de Trésorerie avec une partie ou pour transfert interne,
12,Banking and Payments,Banque et Paiements,
13,Base Amount (Company Currency),Montant de Base (Devise de la Société),
14,Base Change Amount (Company Currency),Montant de Base à Rendre (Devise de la Société),
15,Base Distinguished Name (DN),« Distinguished Name » (DN) de base,Nom technique : je propose de laisser tel quel pour ne pas créer de confusion
16,Base Hour Rate(Company Currency),Taux Horaire de Base (Devise de la Société),
17,Based on Permissions For User,Basé sur les Permissions De l'Utilisateur,
18,Basic Amount (Company Currency),Montant de Base (Devise de la Société),
19,Basic Rate (as per Stock UOM),Taux de base (comme l’UDM du Stock),
20,Batch Inventory,Inventaire du Lot,
21,Batch Name,Nom du Lot,
22,Batch-Wise Balance History,Historique de Balance des Lots,
23,Before reconciliation,Avant la réconciliation,
24,Beginner,Débutant,
25,Better add a few more letters or another word,Mieux vaut ajouter quelques lettres ou un autre mot,
26,Between,Entre,
27,Billing Address Name,Nom de l'Adresse de Facturation,
28,Billing currency must be equal to either default comapany's currency or party account currency,La devise de facturation doit être égale à la devise par défaut de la companie ou du compte de la partie,Traduction anglaise à corriger
29,Bimonthly,Bimensuel,
30,Bin,Boîte,
31,Block Date,Blocker la Date,
32,Block Days,Bloquer les Jours,
33,Block Holidays on important days.,Blocker les Vacances sur les jours importants.,
34,Block Module,Bloquer le Module,
35,Block Modules,Blocker les Modules,
36,BOM,LDM (Liste de Matériaux),
37,BOM and Manufacturing Quantity are required,LDM et Quantité de Fabrication sont nécessaires,
38,BOM Detail No,N° de Détail LDM,
39,BOM Explosion Item,Article Eclaté LDM,
40,BOM No. for a Finished Good Item,N° d’Article Produit Fini LDM,
41,BOM recursion: {0} cannot be parent or child of {2},Répétition LDM: {0} ne peut pas être parent ou enfant de {2},
42,BOM Replace Tool,Outil de Remplacement LDM,
43,BOM Scrap Item,Poste de Rebut LDM ,
44,BOM Search,Recherche LDM,
45,Bot,Bot,
46,Box,Boîte,
47,Brake Oil,Liquide de Frein,
48,Brake Pad,Plaquettes de Frein,
49,Brand HTML,Marque HTML,
50,Brand Image,Logo,
51,Breadcrumbs,Fil d’Ariane (Breadcrumbs),"Nom technique, difficile de trouver une traduction qui ne crée pas la confusion"
52,Browse BOM,Parcourir la LDM,
53,Budget Account,Compte de Budget,
54,Budget Accounts,Comptes de Budgets,
55,Budget Against,Budget pour,
56,Budget Amount,Montant Budgétaire,
57,Budget and Cost Center,Centre de Budget et Coûts,
58,"Budget cannot be assigned against {0}, as it's not an Income or Expense account","Budget ne peut pas être affecté pour {0}, car ce n’est pas un compte de revenus ou de dépenses",
59,Budget cannot be assigned against Group Account {0},Budget ne peut pas être attribué pour le Compte de Groupe {0},
60,bullhorn,Mégaphone (bullhorn),Nom d’icône font-awesome
61,Business Development Manager,Directeur Commercial,
62,Button Help,Aide du Bouton,
63,Button Label,Étiquette du Bouton,
64,Buyer of Goods and Services.,Acheteur des biens et services.,
65,"Buying must be checked, if Applicable For is selected as {0}","Achat doit être vérifié, si Applicable Pour {0} est sélectionné",
66,B-,B-,
67,B+,B +,
68,Back to Login,Retour à la Connexion,
69,Background,Arrière-plan,
70,Background Color,Couleur d’Arrière-plan,
71,Background Events,Événements en Arrière-Plan,
72,Background Image,Image d’Arrière-plan,
73,Background Jobs,Travaux en Arrière-plan,
74,Background Style,Style d’Arrière-Plan,
75,Backup Size,Taille de la Sauvegarde,
76,Backups,Sauvegardes,
77,backward,Revenir en arrière,
78,Balance,Solde,
79,Balance for Account {0} must always be {1},Solde pour le compte {0} doit toujours être {1},
80,Balance must be,Solde doit être,
81,Balance Qty,Qté de Solde,
82,Balance Sheet,Bilan,
83,Balance Value,Valeur du Solde,
84,Bank,Banque,
85,Bank / Cash Account,Banque et liquidités,
86,Bank A/C No.,N° de Compte Bancaire,
87,Bank Account,Compte Bancaire,
88,Bank account cannot be named as {0},Compte Bancaire ne peut pas être nommé {0},
89,Bank Account No.,N° de Compte Bancaire,
90,Bank Accounts,Comptes Bancaires,
91,Bank Balance,Solde Bancaire,
92,Bank Clearance Summary,Bilan des Compensations Bancaires,
93,Bank Entries,Entrées Bancaires,
94,Bank Name,Nom de la Banque,
95,Bank Reconciliation,Réconciliation Bancaire,
96,Bank Reconciliation Detail,Détail de la Réconciliation Bancaire,
97,Banking,Banque,
98,Banner,Bannière,
99,Banner HTML,Bannière HTML ,
100,Banner is above the Top Menu Bar.,La Bannière est au-dessus de la Barre de Menu Supérieure.,
101,barcode,Code Barre,
102,Barcode {0} already used in Item {1},Le Code Barre {0} est déjà utilisé dans l'article {1},
103,Base,Base,
104,Based On,Basé Sur,
105,Basic,de Base,
106,Basic Amount,Montant de Base,
107,Basic Rate,Taux de Base,
108,Basic Rate (Company Currency),Taux de Base (Devise de la Société ),
109,Batch,Lot,
110,Batch (lot) of an Item.,Lot d'un Article.,
111,Batch {0} of Item {1} has expired.,Lot {0} de l'Article {1} a expiré.,
112,Batch Description,Description du Lot,
113,Batch ID,ID du Lot,
114,Batch No,N° du Lot,
115,Batch number is mandatory for Item {0},Le numéro de lot est obligatoire pour l'Article {0},
116,Beginning with,Commençant par,
117,bell,cloche (bell),Nom d’icône font-awesome
118,Beta,Bêta,
119,Better Prospects,Meilleures Perspectives,
120,Bill,Facture,
121,Bill Date,Date de la Facture,
122,Bill No,Numéro de Facture,
123,Bill of Materials,Liste de Matériaux,
124,Bill of Materials (BOM),Liste de Matériaux (LDM),
125,Billed,Facturé,
126,Billed Amount,Montant Facturé,
127,Billed Amt,Mnt Facturé,
128,Billing,Facturation,
129,Billing Address,Adresse de Facturation,
130,Billing Amount,Montant de Facturation,
131,Billing and Delivery Status,Facturation et Statut de Livraison,
132,Billing City,Ville de Facturation,
133,Billing Country,Pays de Facturation,
134,Billing County,Département de Facturation,
135,Billing Currency,Devise de Facturation,
136,Billing Details,Détails de la Facturation,
137,Billing Hours,Heures Facturés,
138,Billing Rate,Taux de Facturation,
139,Billing State,État de la Facturation,
140,Billing Status,Statut de la Facturation,
141,Bills raised by Suppliers.,Factures émises par des Fournisseurs.,
142,Bills raised to Customers.,Factures émises pour des Clients.,
143,Bio,Biographie,
144,Biotechnology,Biotechnologie,
145,Birth Date,Date de Naissance,
146,Birthday Reminder for {0},Rappel d'Anniversaire pour {0},
147,Black,Noir,
148,Block leave applications by department.,Bloquer les demandes de congé par département,
149,Blocked,Bloqué,
150,Blog,Blog,
151,Blog Category,Catégorie du Blog,
152,Blog Intro,Intro du Blog,
153,Blog Introduction,Introduction du Blog,
154,Blog Post,Article de blog,
155,Blog Settings,Paramètres du blog,
156,Blog Subscriber,Abonné au Blog,
157,Blog Title,Titre du Blog,
158,Blogger,Blogueur,
159,Blood Group,Groupe Sanguin,
160,Blue,Bleu,
161,bold,gras,
