,English,Français
0,Cost center is required to book an expense claim,Un centre de coût est requis pour comptabiliser une note de frais
1,Create customer quotes,Créer les devis client
2,Create Employee Records,Créer les Dossiers des Employés
3,Create new Contact to Match Email Address,Créer un nouveau Contact pour Aller avec l'Adresse Email
4,Create Users,Créer les Utilisateurs
5,Create/Add new Contact,Créer/Ajouter un nouveau Contact
6,Created Salary Slips,Fiches de Paie Créées
7,C-FORM-,C-Form-
8,Can't identify open {0}. Try something else.,Impossible d'identifier les {0} ouvertes. Essayez autre chose.
9,cancelled this document,annulé ce document
10,Cannot {0} {1} {2} without any negative outstanding invoice,Ne peut pas {0} {1} {2} sans aucune facture impayée négative
11,Cannot automatically create Account as there is already stock balance in the Account. You must create a matching account before you can make an entry on this warehouse,Impossible de créer automatiquement le Compte car il y a déjà du stock dans ce Compte. Vous devez créer un compte à associer avant de pouvoir faire une écriture sur cet entrepôt
12,Cannot change docstatus from 0 to 2,Impossible de changer le statut du document de 0 à 2
13,Cannot change docstatus from 1 to 0,Impossible de changer le status du document de 1 à 0
14,Cannot change status as student {0} is linked with student application {1},Impossible de changer le statut car l'étudiant {0} est lié à la candidature de l'étudiant {1}
15,Cannot convert Cost Center to ledger as it has child nodes,Conversion impossible du Centre de Coûts en livre car il possède des nœuds enfants
16,Cannot convert to Group because Account Type is selected.,Conversion impossible en Groupe car le Type de Compte est sélectionné.
17,Cannot create a {0} against a child document: {1},Création impossible d'un {0} pour un document enfant: {1}
18,Cannot deactivate or cancel BOM as it is linked with other BOMs,Désactivation ou annulation de la LDM impossible car elle est liée avec d'autres LDMs
19,"Cannot declare as lost, because Quotation has been made.","Impossible de déclarer comme perdu, parce que le Devis a été fait."
20,Cannot deduct when category is for 'Valuation' or 'Valuation and Total',Déduction impossible lorsque la catégorie est pour 'Valorisation' ou 'Valorisation et Total'
21,Cannot deduct when category is for 'Valuation' or 'Vaulation and Total',Déduction impossible lorsque la catégorie est pour 'Évaluation' ou 'Vaulation et Total'
22,Cannot delete standard field. You can hide it if you want,Suppression de champ standard impossible. Vous pouvez le cacher si vous voulez
23,Cannot edit a standard report. Please duplicate and create a new report,Modification d'un rapport standard impossible. Veuillez le dupliquer et créer un nouveau rapport
24,Cannot enroll more than {0} students for this student group.,Inscription de plus de {0} étudiants impossible pour ce groupe d'étudiants.
25,Cannot map because following condition fails:,Impossible de mapper parce que la condition suivante échoue :
26,"Cannot overbill for Item {0} in row {1} more than {2}. To allow overbilling, please set in Stock Settings","Impossible de surfacturer pour l'Article {0} à la ligne {1} plus {2}. Pour permettre la surfacturation, veuillez le définir dans les Réglages du Stock"
27,Cannot Remove,Suppression Impossible
