,English,Français,
0,Default Grading Scale,Échelle de Notation par Défault,
1,Define various loan types,Définir différents types de prêts,
2,Delete comment?,Supprimer le commentaire ?,
3,Deleted DocType,Suppimer le DocType,
4,Deleted Document,Supprimer le Document,
5,Deleting {0},Suppression de {0},
6,Disbursement Date,Date de Décaissement,
7,Document ID,ID de Document,
8,domain name,Nom de Domaine,
9,Don't have an account? Sign up,Vous n’avez pas encore de compte ? Inscrivez-vous,
10,Dropbox Setup,Paramétrage Dropbox,
11,Dropbox Setup via Site Config,Paramétrage Dropbox via les Paramètrages du Site,
12,Daily Event Digest is sent for Calendar Events where reminders are set.,Un Récapitulatif Quotidien est envoyé pour les Événements du Calendrier ayant des rappels.,
13,Daily Timesheet Summary,Récapitulatif Quotidien des Feuilles de Présence,
14,Daily Work Summary,Récapitulatif Quotidien de Travail,
15,Daily Work Summary for {0},Récapitulatif Quotidien de Travail pour {0},
16,Daily Work Summary Settings,Paramètres du Récapitulatif Quotidien,
17,Daily Work Summary Settings Company,Paramètres du Récapitulatif Quotidien de la Société,
18,darkgrey,gris foncé,
19,Date of Leaving,Date de Départ,
20,Date Range,Intervalle de Date,
21,Debit Amount in Account Currency,Montant Débiteur en Devise du Compte,
22,Debit and Credit not equal for {0} #{1}. Difference is {2}.,Débit et Crédit non égaux pour {0} # {1}. La différence est de {2}.,
23,Debit in Company Currency,Débit en Devise Société,
24,Debit Note Issued,Notes de Débit Émises,
25,Debit To,Débit Pour,
26,Debit To account must be a Balance Sheet account,Le compte de débit doit être un compte de Bilan,
27,Debit To account must be a Receivable account,Le compte de débit doit être un compte Débiteur,
28,Debit To is required,Compte de Débit Requis,
29,Default Activity Cost exists for Activity Type - {0},Un Coût d’Activité par défault existe pour le Type d’Activité {0},
30,Default Bank / Cash account will be automatically updated in POS Invoice when this mode is selected.,Le compte par défaut de Banque / Caisse sera automatiquement mis à jour dans la Facture PDV lorsque ce mode est sélectionné.,
31,Default Bank / Cash account will be automatically updated in Salary Journal Entry when this mode is selected.,Le compte par défaut de Banque / Caisse sera automatiquement mis à jour dans l’écriture de Journal de Salaire lorsque ce mode est sélectionné.,
32,Default BOM ({0}) must be active for this item or its template,LDM par défaut ({0}) doit être actif pour ce produit ou son modèle,
33,Default BOM for {0} not found,LDM par défaut {0} introuvable,
34,Default Cost of Goods Sold Account,Compte de Coûts des Marchandises Vendues par Défaut,
35,Default for 'Check' type of field must be either '0' or '1','Vérifier’ le type de champ doit être ‘0’ ou ‘1’ par Défaut,
36,Default for {0} must be an option,{0} doit être une option par Défaut,
37,Default Incoming,Entrant par Défaut,
38,Default Item Group,Groupe d'Éléments par Défaut,
39,Default Material Request Type,Type de Requête de Matériaux par Défaut,
40,Default Outgoing,Sortant par Défaut,
41,Default Payment Request Message,Message de Demande de Paiement par Défaut,
42,Default Redirect URI,URI de Redirection par Défaut,
