,English,Français,
0,Feedback Rating,Note de Retour d’Expérience,
1,Feedback Ratings,Notes de Retour d’Expérience,
2,Feedback request mail has been already sent to the recipient,Un email de demande de Retour d’Expérience a déjà été envoyé au destinataire,
3,Feedback Trigger,Générateur de Retour d’Expérience,
4,Filter Meta,Meta de Filtre,
5,Filters saved,Filtres sauvegardés,
6,Forgot Password,Mot de Passe Oublié,
7,From Date {0} for Employee {1} cannot be before employee's joining Date {2},La Date {0} pour l’Employé {1} ne peut pas être avant la Date d’embauche {2} de l’employé,
8,Facebook Client ID,ID Client Facebook,
9,Facebook Client Secret,Secret Client Facebook,
10,Fee Category,Catégorie d'Honoraires,
11,Fee Component,Composant d'Honoraires,
12,Fee Records Created - {0},Archive d'Honoraires Créée - {0},
13,Fee Schedule,Barème d'Honoraires,
14,Fee Structure,Structure d'Honoraires,
15,FEE.,HONORAIRES.,
16,Feedback Trigger not found,Générateur de Retour d’Expérience introuvable,
17,Fees Category,Catégorie d'Honoraires,
18,Fetch exploded BOM (including sub-assemblies),Récupérer la LDM éclatée (y compris les sous-ensembles),
19,"Field ""value"" is mandatory. Please specify value to be updated","Le champ ""Valeur"" est obligatoire. S'il vous plaît spécifiez la valeur devant être mise à jour",
20,Fieldname is limited to 64 characters ({0}),Le Nom du champ est limité à 64 caractères ({0}),
21,Fieldname which will be the DocType for this link field.,Nom du champ qui sera le DocType pour ce champ lié,
22,"Fields separated by comma (,) will be included in the ""Search By"" list of Search dialog box","Les champs séparés par une virgule (,) seront inclus dans la liste ""Recherche par"" de la boîte de dialogue de Recherche",
23,Fieldtype {0} for {1} cannot be indexed,FieldType {0} pour {1} ne peut pas être indexé,"Je propose de laisser FieldType tel quel, comme DocType"
24,Fieldtype {0} for {1} cannot be unique,FieldType {0} pour {1} ne peut pas être unique,
25,Fieldtype cannot be changed from {0} to {1} in row {2},"FieldType ne peut pas être modifié de {0} à {1}, à la ligne {2}",
26,Files Size,Taille des Fichiers,
27,Filter records based on User Permissions defined for a user,Filtrer les enregistrements en fonction des autorisations définies pour un utilisateur,
28,Filters Display,Affichage des Filtres,
29,Finished Item {0} must be entered for Manufacture type entry,Le Produit Fini {0} doit être saisi pour une écriture de type de Fabrication,
30,First Responded On,Première Réponse Le,
31,Fiscal Year {0} not found,Exercice Fiscal {0} introuvable,
32,Fiscal Year Start Date and Fiscal Year End Date are already set in Fiscal Year {0},La Date de Début et la Date de Fin de l'Exercice Fiscal sont déjà définies dans l'Année Fiscale {0},
33,Fiscal Year Start Date should not be greater than Fiscal Year End Date,La Date de Début ne doit pas être postérieure à la Date de Fin de l'Exercice Fiscal,
34,Fixed Asset Account,Compte d'Actif Immobilisé,
35,Fixed Asset Depreciation Settings,Paramètres d'Amortissement des Immobilisations,
36,Fixed Asset Item must be a non-stock item.,Un Article Immobilisé doit être un élément non stocké.,
37,flag,drapeau,
38,Fleet Management,Gestion de Flotte,
