,English,Français,
0,Half Day Date,Date de Demi-Journée,
1,Half Day Date should be between From Date and To Date,La Date de Demi-Journée doit être entre la Date de Début et la Date de Fin,
2,Header and Description,En-Tête et Description,
3,hand-down,main vers le bas,
4,hand-left,main-gauche,
5,hand-right,main-droite,
6,hand-up,main vers le haut,
7,Has Batch No,A un Numéro de Lot,
8,Has Print Format,A un Format d'Impression,
9,Heads (or groups) against which Accounting Entries are made and balances are maintained.,Titres (ou groupes) sur lequel les entrées comptables sont faites et les soldes sont maintenus.,
10,Help Articles,Articles d'Aide,
11,"Help: To link to another record in the system, use ""#Form/Note/[Note Name]"" as the Link URL. (don't use ""http://"")","Aide: Pour lier à un autre enregistrement dans le système, utiliser ""# Form / Note / [Nom de la Note]», comme l'URL du lien. (Ne pas utiliser ""http://"")",
12,"Here you can maintain family details like name and occupation of parent, spouse and children","Ici vous pouvez conserver les détails familiaux comme le nom et la profession des parents, le conjoint et les enfants",
13,"Here you can maintain height, weight, allergies, medical concerns etc","Ici vous pouvez maintenir la hauteur, le poids, les allergies, les préoccupations médicales etc.",
14,Hide field in Report Builder,Masquer le champ dans l’Éditeur de Rapports,
15,Hide Footer Signup,Masquer l’Inscription dans le Pied de Page,
16,Hide Standard Menu,Masquer le Menu Standard,
17,Hold,Tenir,
18,Holiday master.,Données de Base des Vacances,
19,Homepage Featured Product,Produit Présenté sur la Page d'Accueil,
20,"How should this currency be formatted? If not set, will use system defaults","Comment cette monnaie doit-elle être formatée? Si ce n’est pas défini, les paramètres par défaut du système seront utilisés",
21,HTML for header section. Optional,HTML pour la section d'en-tête. Optionnel,
22,HTML Header & Robots,HTML En-Tête & Robots,
23,Hub,Hub,"Je pense que Hub est plus parlant, surtout étant donné qu’il s’agit vraiment d’un Hub créé par Frappé "
24,Hub Node,Noeud du Hub,
25,Hub Settings,Paramètres du Hub,
26,Half Yearly,Semestriel,
27,Half-yearly,Semestriel,
28,Hardware,Matériel,
29,Has Serial No,A un N° de Série,
30,Has Variants,A des Variantes,
31,Have an account? Login,Vous avez déjà un compte? Connexion,
32,hdd,hdd,
33,Head of Marketing and Sales,Responsable du Marketing et des Ventes,
34,Header,En-Tête,
35,Heading,Titre,
36,Heading Style,Style de Titre,
37,headphones,casques,
38,Health Care,Soins de Santé,
39,Health Concerns,Problèmes de Santé,
40,Health Details,Détails de Santé,
41,heart,cœur,
42,Held On,Tenu le,
43,Hello {0},Bonjour {0},
44,Help,Aide,
45,Help Article,Article d’Aide,
46,Help Category,Catégorie d’Aide,
47,Help for User Permissions,Aide pour les Autorisations des Utilisateurs,
48,Help HTML,Aide HTML,
49,Help on Search,Aide sur la Recherche,
50,Help: Field Properties,Aide: Propriétés du Champ,
51,Helvetica,Helvetica,
52,Hidden,Caché,
53,Hide Copy,Cacher la Copie,
54,Hide Currency Symbol,Masquer le Symbole Monétaire,
55,Hide Details,Masquer les Détails,
56,Hide field in form,Cacher le champ dans le formulaire,
57,Hide field in Standard Print Format,Masquer le champ dans le Format d'Impression Standard,
58,Hide Filters,Masquer les Filtres,
59,Hide Heading,Masquer l'En-Tête,
60,Hide Toolbar,Masquer la Barre d'Outils,
61,High,Haut,
62,"Higher the number, higher the priority","Plus le nombre est grand, plus la priorité est haute",
63,Highlight,Surligner,
64,History In Company,Ancienneté dans la Société,
65,Holiday,Vacances,
66,Holiday List,Liste de Vacances,
67,Holiday List Name,Nom de la Liste de Vacances,
68,Holidays,Vacances,
69,Home,Accueil,
70,Home Address,Adresse du Domicile,
71,Home Page,Page d’Accueil,
72,Home Page is Products,La Page d'Accueil est Produits,
73,Home/Test Folder 1,Accueil / Dossier Test 1,
74,Home/Test Folder 1/Test Folder 3,Accueil / Dossier Test 1 / Dossier Test 3,
75,Home/Test Folder 2,Accueil / Dossier Test 2,
76,Homepage,Page d'Accueil,
77,Host,Hôte,
78,Hour Rate,Tarif Horaire,
79,Hours,Heures,
80,How frequently?,A quelle fréquence?,
81,How Pricing Rule is applied?,Comment la Règle de Prix doit-elle être appliquée?,
82,HR,RH,
83,HR Manager,Responsable RH,
84,HR Settings,Paramètres RH,
85,HR User,Chargé RH,
86,Hrs,Hrs,
87,HTML,HTML,
88,HTML / Banner that will show on the top of product list.,HTML / bannière qui apparaîtra sur le haut de la liste des produits.,
89,Human Resource,Ressource Humaine,
90,Human Resources,Ressources Humaines,
91,Half Day,Demi-Journée,
92,Hour,Heure,
