,English,Français
0,I found these:,J'ai trouvé ceci :
1,Illegal Access Token. Please try again,Jeton d'Accès Invalide. Veuillez réessayer
2,In Grid View,Vue en Grille
3,Invalid Login. Try again.,Login Invalide. Réessayer.
4,Invalid Password,Mot de Passe Invalide
5,Is Sample Item,Est Article de l'Échantillon
6,Item Code > Item Group > Brand,Code de l'Article > Groupe de l'Article > Marque
7,ID (name) of the entity whose property is to be set,ID (nom) de l'entité dont la propriété doit être définie
8,ID field is required to edit values using Report. Please select the ID field using the Column Picker,Champ ID est nécessaire pour modifier les valeurs à l'aide de Rapport. Veuillez sélectionner le champ ID à l'aide du Sélecteur de Colonne
9,"If a Role does not have access at Level 0, then higher levels are meaningless.","Si un Rôle n'a pas accès au niveau 0, les niveaux plus élevés n'ont pas de sens."
10,If Checked workflow status will not override status in list view,Si Cochée le statut du flux de travail ne remplacera pas le statut de la vue en liste
11,"If checked, all the children of each production item will be included in the Material Requests.","Si cochée, tous les enfants de chaque article de production seront inclus dans les Demandes de Matériel."
12,"If checked, only Purchase material requests for final raw materials will be included in the Material Requests. Otherwise, Material Requests for parent items will be created","Si cochée, seulement des Demandes d'Achat de Matériel pour les matières premières finales seront incluses dans les Demandes de Matériel. Dans le cas contraire, les Demandes de Matériel pour les articles parents seront créées"
13,"If checked, raw materials for items that are sub-contracted will be included in the Material Requests","Si cochée, les matières premières pour les articles qui sont sous-traités seront inclus dans les Demandes de Matériel"
14,"If checked, the Home page will be the default Item Group for the website","Si cochée, la page d'Accueil pour le site sera le Groupe d'Article par défaut"
15,"If checked, the tax amount will be considered as already included in the Print Rate / Print Amount","Si cochée, le montant de la taxe sera considéré comme déjà inclus dans le Taux d'Impression / Prix d'Impression"
16,"If checked, Total no. of Working Days will include holidays, and this will reduce the value of Salary Per Day","Si cochée, Le nombre total de Jours Ouvrés comprendra les vacances, ce qui réduira la valeur du Salaire Par Jour"
17,"If checked, users will not see the Confirm Access dialog.","Si cochée, les utilisateurs ne verront pas la boîte de dialogue de Confirmation d'Accès."
18,"If checked, Will include non-stock items in the Material Requests.","Si cochée, comprendra des articles hors stock dans les Demandes de Matériel."
19,"If disabled, this role will be removed from all users.","Si désactivé, ce rôle sera retiré de tous les utilisateurs."
20,"If enabled, the system will post accounting entries for inventory automatically.","Si activé, le système publiera automatiquement les écritures comptables pour l'inventaire."
21,"If item is a variant of another item then description, image, pricing, taxes etc will be set from the template unless explicitly specified","Si l'article est une variante d'un autre article, alors la description, l'image, le prix, les taxes etc seront fixés à partir du modèle sauf si spécifiés explicitement"
22,If more than one package of the same type (for print),Si plus d'un paquet du même type (pour l'impression)
23,"If multiple Pricing Rules continue to prevail, users are asked to set Priority manually to resolve conflict.","Si plusieurs Règles de Prix continuent de prévaloir, les utilisateurs sont invités à définir manuellement la priorité pour résoudre les conflits."
24,"If not checked, the list will have to be added to each Department where it has to be applied.","Si décochée, la liste devra être ajoutée à chaque département où elle doit être appliquée."
