,English,Français
0,LDAP Email Field,
1,LDAP First Name Field,
2,"Leads help you get business, add all your contacts and more as your leads",
3,Leave Encashment,
4,Login with LDAP,
5,Looks like something is wrong with this site's Razorpay configuration. No payment has been made.,
6,LAL/,LAL /
7,Landed Cost Item,Coût de l'Article au Débarquement
8,Landed Cost Purchase Receipt,Reçu d'Achat du Coût au Débarquement
9,Landed Cost Taxes and Charges,Taxes et Frais du Coût au Débarquement
10,Landed Cost Voucher,Bon de Coût au Débarquement
11,Landed Cost Voucher Amount,Montant du Bon de Coût au Débarquement
12,LAP/,TOUR/
13,Last Carbon Check,Dernière Carbon Check
14,Last purchase rate not found,Dernier Taux d'achat introuvable
15,LCV,LCV
16,LDAP Search String,LDAP Chaîne de recherche
17,LDAP Server Url,Serveur LDAP Url
18,LDAP Username Field,LDAP Nom d'utilisateur Champ
19,Lead must be set if Opportunity is made from Lead,Le prospect doit être réglée si l'occasion est créé à partir de ce prospect
20,Lead Owner cannot be same as the Lead,Lead propriétaire ne peut pas être le même que le plomb
21,Lead Source,Source du Prospect
22,Lead Time Date,Délai Date Heure
23,Lead Time Days,Délai jours Temps
24,LEAD-,CONDUIRE-
25,Leave Allocation Tool,Absence outil de répartition
26,Leave approver must be one of {0},Approbateur d'absence doit être un de {0}
27,Leave Balance Before Application,Laisser Solde Avant d'application
28,Leave blank if considered for all branches,Laisser vide si cela est considéré pour toutes les branches
29,Leave blank if considered for all departments,Laisser vide si cela est considéré pour tous les départements
30,Leave blank if considered for all designations,Laisser vide si cela est considéré pour toutes les désignations
31,Leave blank if considered for all employee types,Laisser vide si cela est jugé pour tous les types d'employés
32,Leave blank if you wish to fetch all courses for selected academic term,Laissez vide si vous souhaitez récupérer tous les cours pour semestre universitaire sélectionné
33,Leave blank to repeat always,Laissez vide pour répéter toujours
34,Leave Block List,Laisser Block List
35,Leave Block List Allow,Laisser Block List Autoriser
36,Leave Block List Allowed,Laisser Block List admis
37,Leave Block List Date,Laisser Date de Block List
38,Leave Block List Dates,Laisser Dates de listes rouges d'
39,Leave Block List Name,Laisser Nom de la liste de blocage
40,"Leave cannot be applied/cancelled before {0}, as leave balance has already been carry-forwarded in the future leave allocation record {1}","Congé ne peut être appliquée / annulée avant {0}, que l'équilibre de congé a déjà été transmis report dans le futur enregistrement d'allocation de congé {1}"
41,Leave Encashed?,Laisser encaissés?
42,Leave of type {0} cannot be longer than {1},Les entrées en stocks existent contre entrepôt {0} ne peut pas réaffecter ou modifier Maître Nom '
43,Leave Type {0} cannot be allocated since it is leave without pay,"Laisser type {0} ne peut pas être attribué, car il est un congé non payé"
44,Leave Type {0} cannot be carry-forwarded,Laissez type {0} ne peut pas être transmis carry-
45,Leave Without Pay does not match with approved Leave Application records,Congé non payé ne correspond pas avec les dossiers de demande de congé approuvé
46,Leaving Certificate Number,Laissant Numéro de certificat
47,Legal Entity / Subsidiary with a separate Chart of Accounts belonging to the Organization.,Entité juridique / Filiale avec un tableau distinct des comptes appartenant à l'Organisation.
48,Let's avoid repeated words and characters,Evitons les mots et les caractères répétés
49,"Level 0 is for document level permissions, higher levels for field level permissions.","Le niveau 0 est pour les autorisations de niveau document, des niveaux plus élevés pour les autorisations au niveau du terrain."
50,Lft,LFT
51,Limit Crossed,Limite croisée
52,Limit Percent,Limite pourcentage
53,Line spacing for amount in words,L'espacement des lignes pour montant en lettres
54,"Link that is the website home page. Standard Links (index, login, products, blog, about, contact)","Lien qui est la page d'accueil du site . Liens standard ( indice , login, produits , blog, sur , contact)"
55,Link to the page you want to open. Leave blank if you want to make it a group parent.,Lien vers la page que vous souhaitez ouvrir. Laissez ce champ vide si vous voulez faire un parent du groupe.
56,"List as [{""label"": _(""Jobs""), ""route"":""jobs""}]","Liste comme [{ ""label"": _ ( ""Jobs""), ""route"": ""emplois""}]"
57,"List your tax heads (e.g. VAT, Customs etc; they should have unique names) and their standard rates. This will create a standard template, which you can edit and add more later.","Inscrivez vos têtes d'impôt (par exemple, la TVA, douanes, etc., ils doivent avoir des noms uniques) et leurs taux standard. Cela va créer un modèle standard, que vous pouvez modifier et ajouter plus tard."
58,list-alt,liste-alt
59,Loan Amount,Montant du prêt
60,Loan Amount cannot exceed Maximum Loan Amount of {0},Le montant du prêt ne peut pas dépasser le montant maximal du prêt de {0}
61,Loan Details,Détails du prêt
62,Loan Info,Infos prêt
63,Loan Name,Nom du prêt
64,Loan Paid,Prêt payé
65,Loan Repaid,Prêt remboursé
66,Loan repayment,Remboursement de prêt
67,Loan Type,Type de prêt
68,Loan Unpaid,Prêt non payé
69,Loans (Liabilities),Prêts ( passif)
70,Loans and Advances (Assets),Prêts et avances ( actif)
71,"LocalStorage is full , did not save","LocalStorage est plein, ne pas enregistrer"
72,Log of error during requests.,Journal d'erreur lors de demandes.
73,Log of error on automated events (scheduler).,Registre d'erreur sur les événements automatiques ( scheduler ) .
