,English,Français,
0,net pay info,Info de salaire net,
1,Next Contact By cannot be same as the Lead Email Address,Prochain Contact Par ne peut être identique à l’Adresse Email du Prospect,
2,No communication found for the document,Aucune communication trouvée pour ce document,
3,no failed attempts,aucune tentative ratée,
4,No Items with Bill of Materials to Manufacture,Aucun Article avec une Liste de Matériel à Fabriquer,
5,No more updates,Pas de mise à jour supplémentaire,
6,No salary slip found between {0} and {1},Aucune fiche de paie trouvée entre {0} et {1},
7,No time sheets,Aucunes feuilles de temps,
8,Not a valid user,N’est pas un utilisateur valide,
9,Not Rated,Non Évalué,
10,Not Submitted Salary Slips,Fiches de Paie non Soumises,
11,Name error: {0},Erreur de Nom: {0},
12,Name not set via Prompt,Nom non défini via l’Invite,
13,Name Token,Nom du Jeton,
14,Names and surnames by themselves are easy to guess.,Les noms et prénoms par eux-mêmes sont faciles à deviner.,
15,Naming Series (for Student Applicant),Nom de la Série (pour le Candidat Étudiant),
16,Naming Series mandatory,Nom de la Série obligatoire,
17,Nationality,Nationalité,
18,Natural Gas,Gaz Naturel,
19,Negative Valuation Rate is not allowed,Taux de Valorisation Négatif n'est pas autorisé,
20,Net Asset value as on,Valeur Nette des Actifs au,
21,Net Cash from Investing,Trésorerie Nette des Investissements,
22,Net Cash from Operations,Trésorerie Nette des Opérations,
23,Net Change in Accounts Payable,Variation Nette des Comptes Créditeurs,
24,Net Change in Accounts Receivable,Variation Nette des Comptes Débiteurs,
25,Net Change in Cash,Variation Nette de Trésorerie,
26,Net Change in Equity,Variation Nette de Capitaux Propres,
27,Net Change in Fixed Asset,Variation Nette des Actifs Immobilisés ,
28,Net Change in Inventory,Variation Nette des Stocks,
29,Net Pay cannot be less than 0,Salaire Net ne peut pas être inférieur à 0,
30,New Academic Year,Nouvelle Année Académique,
31,New BOM,Nouvelle LDM,
32,New credit limit is less than current outstanding amount for the customer. Credit limit has to be atleast {0},Nouvelle limite de crédit est inférieure à l'encours actuel pour le client. Limite de crédit doit être au moins de {0},
33,New Customer Revenue,Nouveau Revenu de Clientèle,
34,New Kanban Board,Nouveau Tableau Kanban,
35,New Purchase Orders,Nouveaux Bons de Commande,
36,New Quotations,Nouveaux Devis,
37,New Report name,Nouveau Nom de Rapport,
38,New Sales Orders,Nouvelles Commandes Client,
39,New Sales Person Name,Nouveau Nom de Commercial,
40,New Serial No cannot have Warehouse. Warehouse must be set by Stock Entry or Purchase Receipt,Les Nouveaux N° de Série ne peuvent avoir d'entrepot. L'Entrepôt doit être établi par Écriture de Stock ou Reçus d'Achat,
41,New task,Nouvelle tâche,
42,New Value,Nouvelle Valeur,
43,New Warehouse Name,Nouveau Nom d'Entrepôt,
44,Next Contact Date cannot be in the past,La Date de Prochain Contact ne peut pas être dans le passé,
45,Next Date must be greater than Posting Date,La Date Suivante doit être supérieure à Date de Comptabilisation,
46,Next Date's day and Repeat on Day of Month must be equal,Le jour de la Date Suivante et le Jour de Répétition du Mois doivent être égal,
47,Next Depreciation Date,Date de l’Amortissement Suivant,
48,Next Depreciation Date cannot be before Purchase Date,La Date de l’Amortissement Suivant ne peut pas être avant la Date d’Achat,
49,Next Depreciation Date is entered as past date,La Date de l’Amortissement Suivant est obligatoire pour un nouvel Actif,
50,Next Depreciation Date is mandatory for new asset,Date de l’Amortissement Suivant est obligatoire pour un nouvel actif,
51,Next Recurring {0} will be created on {1},Récurrent Suivant {0} sera créé le {1},
52,No active or default Salary Structure found for employee {0} for the given dates,Aucune Structure de Salaire active ou par défaut trouvée pour employé {0} pour les dates données,
53,No comments yet. Start a new discussion.,Aucun commentaire pour l'instant. Démarrer une nouvelle discussion.,
54,No default Address Template found. Please create a new one from Setup > Printing and Branding > Address Template.,Aucun Modèle d'Adresse par Défaut trouvé. Veuillez créer un nouveau modèle à partir de Configuration > Impression et Marque > Modèle d'Adresse.,
55,No Email Account assigned to you. Please contact your System Administrator,Aucun Compte de Messagerie ne vous est attribué. Veuillez contacter votre Administrateur Système,
56,No employee for the above selected criteria OR salary slip already created,Aucun employé pour les critères sélectionnés ci-dessus ou pour les fiches de paie déjà créées,
57,No Label,Pas d'Étiquette,
58,No leave record found for employee {0} for {1},Aucun congé trouvé pour l’employé {0} pour {1},
59,No of emails remaining to be synced,Nb d’emails restants à être synchronisés,
60,No of Rows (Max 500),Nb de lignes (Max 500),
61,No offline records.,Aucun enregistrement hors ligne.,
62,No records.,Pas d'enregistrements.,
63,No replies from,Pas de réponse de,
64,No Report Loaded. Please use query-report/[Report Name] to run a report.,Aucun Rapport Chargé. Veuillez utiliser rapport-requête / [Nom du rapport] pour exécuter un rapport.,
65,No Result,Aucun Résultat,
66,No Student Groups created.,Aucun Groupe d'Étudiants créé.,
67,No students Found,Aucun étudiant Trouvé,
68,No tasks,Aucune tâche,
69,Non-Group to Group,Non-Groupe à Groupe,
70,None of the items have any change in quantity or value.,Aucun des Articles n’a de changement en quantité ou en valeur.,
71,None: End of Workflow,Aucun: Fin de Flux de Travail,
72,Not a valid Comma Separated Value (CSV File),Valeurs Séparées par des Virgules non valides (Fichier CSV),
73,Not a valid LDAP user,Utilisateur LDAP non valide,
74,Not a zip file,Pas un fichier zip,
75,Not Allowed,Non Autorisé,
76,Not allowed to access {0} with {1} = {2},Accès à {0} avec {1} = {2} non autorisé,
77,Not allowed to print cancelled documents,Non autorisé à imprimer des documents annulés,
78,Not allowed to print draft documents,Non autorisé à imprimer des brouillons de documents,
79,Not allowed to tranfer more {0} than {1} against Purchase Order {2},Non autorisé à tranférer plus de {0} que de {1} pour Bon de Commande {2},
80,Not In,Non Inclus,
81,Not in Developer Mode! Set in site_config.json or make 'Custom' DocType.,Pas en Mode Développeur! Configurez le dans site_config.json ou créez un DocType 'Custom'.,
82,Not in Stock,En Rupture de Stock,
83,Not items found,Pas d'objets trouvés,
84,Not Linked to any record.,Non Lié à un enregistrement.,
85,Not Marked,Non Marqué,
86,Not Paid and Not Delivered,Non Payé et Non Livré,
87,Note: Due / Reference Date exceeds allowed customer credit days by {0} day(s),Remarque : Date de Référence / d’Échéance dépasse le nombre de jours de crédit client autorisé de {0} jour(s),
88,Note: fields having empty value for above criteria are not filtered out.,Remarque : Les champs ayant des valeurs vides pour les critères ci-dessus ne sont pas filtrés.,
89,"Note: For best results, images must be of the same size and width must be greater than height.","Remarque : Pour de meilleurs résultats, les images doivent être de la même taille et la largeur doit être supérieure à la hauteur.",
90,Note: Multiple sessions will be allowed in case of mobile device,Remarque : Plusieurs sessions seront autorisées en cas d'appareil mobile,
91,Note: Other permission rules may also apply,Remarque : Les règles d'autorisation peuvent également s'appliquer,
92,Note: System will not check over-delivery and over-booking for Item {0} as quantity or amount is 0,Remarque : Le système ne vérifiera pas les sur-livraisons et les sur-réservations pour l’Article {0} car la quantité ou le montant est égal à 0,
93,Note: Total allocated leaves {0} shouldn't be less than already approved leaves {1} for the period,Remarque : Le total des congés alloués {0} ne doit pas être inférieur aux congés déjà approuvés {1} pour la période,
94,Notify users with a popup when they log in,Informer les utilisateurs avec un popup quand ils se connectent,
95,now,maintenant,
96,Number of columns for a field in a Grid (Total Columns in a grid should be less than 11),Nombre de colonnes pour un champ dans une Grille (Total des colonnes dans une grille doit être inférieur à 11),
