,English,Français
0,Only Leave Applications with status 'Approved' and 'Rejected' can be submitted,Seules les Demandes de Congés avec le statut 'Appouvée' ou 'Rejetée' peuvent être soumises
1,OAuth Authorization Code,Code d'Autorisation OAuth
2,OAuth Bearer Token,Jeton de Détention OAuth
3,OAuth Client,OAuth Client
4,OAuth Provider Settings,Paramètres du Fournisseur OAuth
5,Odometer,Odomètre
6,Odometer Reading,Relevé du Compteur Kilométrique
7,Odometer Value (Last),Valeur Compteur Kilométrique (Dernier)
8,Offer candidate a Job.,Proposer un Emploi au candidat
9,Offer Letter Terms,Termes de la Lettre de Proposition
10,Offline POS Name,Nom du PDV Hors-ligne`
11,ok-circle,ok-cercle
12,ok-sign,ok-signe
13,Old Parent,Grand Parent
14,old_parent,grand_parent
15,Older backups will be automatically deleted,Les anciennes sauvegardes seront automatiquement supprimées
16,On Leave,En Congé
17,On Previous Row Amount,Le Montant de la Rangée Précédente
18,On Previous Row Total,Le Total de la Rangée Précédente
19,"Once you have set this, the users will only be able access documents (eg. Blog Post) where the link exists (eg. Blogger).","Une fois que vous avez défini ceci, les utilisateurs ne pourront accèder qu'aux documents (e.g. Article de Blog) où le lien existe (e.g. Blogger) ."
20,Only 200 inserts allowed in one request,Seuls 200 inserts autorisés dans une requête
21,Only Administrator can delete Email Queue,Seul l'Administrateur peut supprimer la File d'Attente d' Emails
22,Only allowed {0} rows in one import,Seules {0} lignes sont autorisées lors d'un import
23,"Oops, you are not allowed to know that","Oups, vous n'êtes pas autorisé à savoir ça"
24,Open BOM {0},Ouvrir LDM {0}
25,Open To Do,Ouvrir To Do
26,Opening (Cr),Ouverture (Cr)
27,Opening Accumulated Depreciation,Amortissement Cumulé d'Ouverture
28,Opening Accumulated Depreciation must be less than equal to {0},Amortissement Cumulé d'Ouverture doit être inférieur ou égal à {0}
29,Opening Balance Equity,Ouverture de la Balance des Capitaux Propres
30,Opening Entry,Écriture d'Ouverture
31,Opening for a Job.,Ouverture d'un Emploi.
32,Opening Qty,Quantité d'Ouverture
33,Opening Stock Balance,Solde d'Ouverture des Stocks
34,Operating Cost (Company Currency),Coût d'Exploitation (Devise Société)
35,Operating Cost(Company Currency),Coût d'Exploitation (Devise Société)
36,"Operation {0} longer than any available working hours in workstation {1}, break down the operation into multiple operations","Opération {0} plus longue que toute heure de travail disponible dans le poste {1}, séparer l'opération en plusieurs opérations"
37,Operation completed for how many finished goods?,Opération terminée pour combien de produits finis ?
38,Operations cannot be left blank,Les opérations ne peuvent pas être laissées vides
39,Opportunity Date,Date d'Opportunité
40,Opportunity From,Opportunité De
41,Opportunity From field is mandatory,Le champ Opportunité De est obligatoire
42,Opportunity Item,Article Opportunity
43,Opportunity Type,Type d'Opportunité
44,Optional: Always send to these ids. Each Email Address on a new row,Optionel : Toujours envoyer à ces ids. Chaque Adresse Email sera sur une nouvelle ligne
45,Optional: The alert will be sent if this expression is true,Optionel : L'alerte sera envoyée si cette expression est vraie
46,Options 'Dynamic Link' type of field must point to another Link Field with options as 'DocType',Les champs de type Options 'Lien Dynamique' doivent pointer vers un autre Champ Lié avec 'Doctype' pour options
47,Options must be a valid DocType for field {0} in row {1},Les options doivent être un DocType valide pour le champ {0} à la ligne {1}
48,Options not set for link field {0},Options non définis pour le champ lié {0}
49,Options requried for Link or Table type field {0} in row {1},Options requises pour les champs de type Tableau ou Lié {0} à la ligne {1}
50,OPTY-,OPTY-
51,Order Type must be one of {0},Type de Commande doit être l'un des {0}
52,Org History,Histoire Org
53,Org History Heading,Rubriques Histoire Org
54,Organization unit (department) master.,Base d'unité d'organisation (département).
55,Organizational Unit,Unité Organisationnelle
56,Orientation,Orientation
57,Out of AMC,Sur AMC
58,Out Qty,Qté Sortante
59,Out Value,Valeur Sortante
60,Outgoing Rate,Taux Sortant
61,Outstanding Amt,Imr en suspens
62,Outstanding Cheques and Deposits to clear,Chèques et Dépôts en suspens à compenser
63,Over Production Allowance Percentage,Pourcentage d'Allocation en cas de Surproduction
64,O-,O-
65,O+,O+
66,off,de
67,Offer Date,Date de l'Offre
68,Offer Letter,Lettre de Proposition
69,Offer Letter Term,Terme de la Lettre de Proposition
70,Offer Term,Terme de la Proposition
71,Office,Bureau
72,Office Equipments,Équipements de Bureau
73,Office Maintenance Expenses,Dépenses d'Entretient du Bureau
74,Office Rent,Loyer du Bureau
75,Offline,Hors Ligne
76,Oil Change,Vidange
77,Old Password,Ancien Mot De Passe
78,"On {0}, {1} wrote:","Sur {0}, {1} a écrit :"
79,On Net Total,Sur le Total Net
80,One Last Step,Un Dernier Pas
81,one of,l'un des
82,Online,En Ligne
83,Online Auctions,Enchères en Ligne
84,Only {0} emailed reports are allowed per user,Seulement {0} rapports envoyés par Email sont autorisés par utilisateur
85,Only Administrator allowed to create Query / Script Reports,Seul l'Administrateur est autorisé à créer des Rapports de Requêtes / Script
86,Only Administrator can edit,Seul l'Administrateur peut modifier
87,Only Administrator can save a standard report. Please rename and save.,Seul l'Administrateur peut enregistrer un rapport standard. Merci de renommer et sauvegarder.
88,Only Allow Edit For,Autoriser la Modification Uniquement Pour
