,English,Français
0,Package Code,Code du Paquet
1,Packing Slip Item,Article Emballé
2,Pages in Desk (place holders),Pages sur le Bureau (espaces réservés)
3,Paid amount + Write Off Amount can not be greater than Grand Total,Le Montant Payé + Montant Annulé ne peut pas être supérieur au Total Général
4,Paid Amount cannot be greater than total negative outstanding amount {0},Le Montant Payé ne peut pas être supérieur au montant impayé restant {0}
5,Parent,Parent
6,Parent Assessment Group,Groupe d’Évaluation Parent
7,Parent Cost Center,Centre de Coûts Parent
8,Parent Customer Group,Groupe Client Parent
9,Parent Detail docname,Nom de Document du Détail Parent
10,Parent Error Snapshot,Instantané d'Erreur Parent
11,Parent Item,Article Parent
12,Parent Item Group,Groupe d'Éléments Parent
13,Parent Label,Étiquette Parent
14,Parent Sales Person,Commercial Parent
15,Parent Table,Table Parent
16,Parent Warehouse,Entrepôt Parent
17,Parenttype,Type Parent
18,Partially Depreciated,Partiellement Déprécié
19,Partially Disbursed,Partiellement Décaissé
20,Partially ordred,Partiellement Commandé
21,Partner website,Site Partenaire
22,Party,Partie
23,Party Account,Compte de la Partie
24,Party Account Currency,Devise du Compte de la Partie
25,Party Balance,Solde de la Partie
26,Party is mandatory,La Partie est obligatoire
27,Party Name,Nom de la Partie
28,Party Type,Type de Partie
29,Party Type is mandatory,Type de Partie est Obligatoire
30,Password cannot be more than 100 characters long,Mot de passe ne peut pas contenir plus de 100 caractères
31,Password for Base DN,Mot de passe pour la Base DN
32,Password is required or select Awaiting Password,Mot de passe est requis ou sélectionnez En Attente de Mot de Passe
33,Password not found,Mot de passe non trouvé
34,Patch Log,Journal de Patch
35,Pay To / Recd From,Payé À / Reçu De
36,Payable,Créditeur
37,Payer Settings,Paramètres du Payeur
38,Payment against {0} {1} cannot be greater than Outstanding Amount {2},Paiement contre {0} {1} ne peut pas être supérieure à Encours {2}
39,Payment Date,Date de Paiement
40,Payment Days,Jours de Paiement
41,Payment Deductions or Loss,Déductions sur le Paiement ou Perte
42,Payment Document,Document de Paiement
43,Payment Entries,Écritures de Paiement
44,Payment Entries {0} are un-linked,Écritures de Paiement {0} ne sont pas liées
45,Payment Entry,Écriture de Paiement
46,"Payment Entry {0} is linked against Order {1}, check if it should be pulled as advance in this invoice.","L’Écriture de Paiement {0} est liée à la Commande {1}, vérifiez si elle doit être récupérée comme une avance dans cette facture."
47,Payment Entry already exists,L’Écriture de Paiement existe déjà
48,Payment Entry Deduction,Déduction d’Écriture de Paiement
49,Payment Entry has been modified after you pulled it. Please pull it again.,L’Écriture de Paiement a été modifié après que vous l’ayez récupérée. Veuillez la récupérer à nouveau.
50,Payment Entry is already created,L’Écriture de Paiement est déjà créée
51,Payment Entry Reference,Référence d’Écriture de Paiement
52,Payment From / To,Paiement De / À
53,Payment Gateway Account,Compte Passerelle de Paiement
54,"Payment Gateway Account not created, please create one manually.","Le Compte Passerelle de Paiement n’existe pas, veuillez en créer un manuellement."
55,Payment Gateway Details,Détails de la Passerelle de Paiement
56,"Payment Mode is not configured. Please check, whether account has been set on Mode of Payments or on POS Profile.",Le Mode de Paiement n’est pas configuré. Veuillez vérifier si le compte a été réglé sur Mode de Paiement ou sur Profil de Point de Vente.
57,Payment of salary from {0} to {1},Paiement du salaire de {0} à {1}
58,Payment Period Based On Invoice Date,Période de Paiement basée sur la Date de la Facture
59,Payment Reconciliation,Réconciliation des Paiements
60,Payment Reconciliation Invoice,Facture de Réconciliation des Paiements
61,Payment Reconciliation Payment,Paiement de Réconciliation des Paiements
62,Payment References,Références de Paiement
63,Payment Request already exists {0},Demande de Paiement existe déjà {0}
64,Payment Success,Paiement Effectué avec Succès
65,Payment Success URL,URL pour Paiement Effectué avec Succès
66,"Payment Type must be one of Receive, Pay and Internal Transfer","Type de Paiement doit être Recevoir, Payer ou Transfert Interne"
67,PayPal payment gateway settings,Paramètres de la Passerelle de Paiement PayPal
68,PayPal Settings,Paramètres PayPal
69,Payroll Frequency,Fréquence de la Paie
70,Payroll Payable,Paie à Payer
71,PE-,PE-
72,Pending Purchase Orders,Bons de Commande en Attente
73,Pending Quotations,Devis en Attente
74,Pending Sales Orders,Commandes Client en Attente
75,People who teach at your organisation,Personnes qui enseignent dans votre organisation
