,English,Français
0,Queued for backup and removing {0},
1,"Quotations are proposals, bids you have sent to your customers",
2,QI-,Qi-
3,QTN-,QTN-
4,Quantity of item obtained after manufacturing / repacking from given quantities of raw materials,Quantité de produit obtenue après fabrication / reconditionnement des quantités données de matières premières
5,Quarter Day,Jour du terme
6,query-report,query-rapport
7,Queued for backup. It may take a few minutes to an hour.,Mis en file d'attente pour la sauvegarde. Cela peut prendre de quelques minutes jusqu'à une heure.
8,Queued for install,Queued pour l'installation
9,Quotation {0} not of type {1},La soumission {0} n'est pas du type {1}
10,Quotation Lost Reason,Perdu la raison de la Soumission
11,Quotation Trends,Tendances de Soumission
12,Quotations:,Soumission:
13,Quoted Item Comparison,Comparaison d'article soumissionné
14,qrcode,qrcode
15,Qty,Qté
16,Qty as per Stock UOM,Qté en stock pour Emballage
17,Qty Consumed Per Unit,Qté consommée par unité
18,Qty for {0},Qté pour {0}
19,Qty to Deliver,Quantité à livrer
20,Qty To Manufacture,Quantité à fabriquer
21,Qty to Order,Quantité à commander
22,Qty to Receive,Quantité à recevoir
23,Qty to Transfer,Qté à Transférer
24,Qualification,Qualification
25,Quality Inspection,Inspection de la Qualité
26,Quality Inspection Reading,Libellé du contrôle de qualité
27,Quality Inspection required for Item {0},Inspection de la qualité requise pour l'article {0}
28,Quality Management,Gestion de la qualité
29,Quality Manager,Responsable Qualité
30,Quality Parameters,Paramètres de qualité
31,Quantity,Quantité
32,Quantity and Rate,Quantité et Prix
33,Quantity and Warehouse,Quantité et entrepôt
34,Quantity cannot be a fraction in row {0},La quantité ne peut pas être une fraction à la ligne {0}
35,Quantity Difference,Différence de Quantité
36,Quantity for Item {0} must be less than {1},Quantité de l'article {0} doit être inférieur à {1}
37,Quantity in row {0} ({1}) must be same as manufactured quantity {2},Quantité alignée {0} ({1}) doit être égale a la quantité fabriquée {2}
38,Quantity must be less than or equal to {0},La quantité doit être inférieure ou égale à {0}
39,Quantity must not be more than {0},Quantité ne doit pas être plus de {0}
40,Quantity required for Item {0} in row {1},Quantité requise pour l'article {0} à la ligne {1}
41,Quantity should be greater than 0,Quantité doit être supérieure à 0
42,Quantity to Manufacture must be greater than 0.,Quantité à fabriquer doit être supérieur à 0.
43,Quarter,Trimestre
44,Quarterly,Trimestriel
45,Query,Requête
46,Query must be a SELECT,Requête doit être un SELECT
47,Query Options,Options de requête
48,Query Report,Rapport de requêtes
49,question-sign,Point d'intérrogation
50,Queued,File d'attente
51,Quick Entry,Entrée rapide
52,Quick Help for Setting Permissions,Aide rapide pour Définition des autorisations
53,Quick Journal Entry,Entrée rapide dans le journal
54,Quotation,Devis
55,Quotation {0} is cancelled,Devis {0} est annulée
56,Quotation Item,Article de la soumission
57,Quotation Message,Message du devis
58,Quotation Series,Série soumission
59,Quotation To,Devis Pour
60,Quotations,Soumissions
61,Quotations received from Suppliers.,Devis reçus des fournisseurs.
62,Quotes to Leads or Customers.,Devis à Prospects ou Clients.
