,English,Français
0,Raise Material Request when stock reaches re-order level,Créer une demande de matériel lorsque le stock atteint le niveau de réapprovisionnement
1,Raised By,Créé par
2,Raised By (Email),Créé par (Email)
3,Range,Plage
4,Rate at which Price list currency is converted to company's base currency,Taux auquel la devise de la Liste de prix est convertie en devise société de base
5,Rate at which Price list currency is converted to customer's base currency,Taux auquel la devise de la Liste de prix est convertie en devise du client de base
6,Rate at which supplier's currency is converted to company's base currency,Taux auquel la devise du fournisseur est convertie en devise société de base
7,Rate of Interest,Taux d'Intérêt
8,Rate of Interest (%) / Year,Taux d'Intérêt (%) / Année
9,Rate of Interest (%) Yearly,Taux d'Intérêt (%) Annuel
10,Rate Of Materials Based On,Prix des Matériaux Basé sur
11,Rating,Évaluation
12,Rating:,Évaluation :
13,Raw Email,Email Brut
14,Raw Material Cost(Company Currency),Coût des Matériaux Bruts (Devise Société)
15,Razorpay Payment gateway settings,Réglages de la Passerelle de Paiement Razorpay
16,Razorpay Settings,Réglages Razorpay
17,Reason for losing,Raison de perdre
18,Receipient,Bénéficiaire
19,Receipt Document,Reçu
20,Receipt document must be submitted,Le reçu doit être soumis
21,Receipt Document Type,Type de Reçu
22,Receivable Account,Compte Débiteur
23,Received Amount,Montant Reçu
24,Received Amount (Company Currency),Montant Reçu (Devise Société)
25,Receiver,Récepteur
26,Receiver Parameter,Paramètre Récepteur
27,Recent years are easy to guess.,Les dernières années sont faciles à deviner.
28,Rechedule,Replanifier
29,Recipient Message And Payment Details,Message du Bénéficiaire et Détails de Paiement
30,Recipient Unsubscribed,Le Bénéficiaire s’est Désinscrit
31,"Recommended bulk editing records via import, or understanding the import format.",Il est recommandé d’effectuer un import ou de comprendre le format d’import pour éditer des enregistrements en masse.
32,Recurring Id,Id Récurrent
33,Recurring Order,Commande Récurrente
34,Recurring Print Format,Format d'Impression Récurrent
35,Recurring Type,Type Récurrent
36,Recurring Upto,Récurrent Jusqu'au
37,Redirect To,Rediriger Vers
38,Redirect URI Bound To Auth Code,URI de Redirection Lié au Code Auth
39,Redirect URIs,URIs de Redirection
40,Redirect URL,URL de Redirection
41,Ref SQ,Réf SQ
42,Reference Communication,Communication de Référence
43,Reference DocType and Reference Name are required,DocType Référence et le Nom de la Référence sont nécessaires
44,Reference Doctype must be one of {0},Doctype Référence doit être parmi {0}
45,Reference No and Reference Date is mandatory for Bank transaction,Le N° de Référence et la Date de Référence sont nécessaires pour une Transaction Bancaire
46,Reference Row,Ligne de Référence
47,"Reference: %s, Item Code: %s and Customer: %s","Référence: %s, Code de l’Article: % s et Client: %s"
48,Refresh Token,Jeton de Rafraîchissement
49,Refuelling Details,Détails de Ravitaillement
50,Register OAuth Client App,Inscrire App Client OAuth
51,Registered but disabled,Enregistré mais Désactivé
52,Rejected Qty,Qté Rejetée
53,Relapsed,Rechuté
54,Relapses,Rechutes
55,Related,En Relation
56,Related Documents,Documents Liés
57,Relation with Guardian1,Relation avec Guardian1
58,Relation with Guardian2,Relation avec Guardian2
59,Relink,Reconnecter
60,Relink Communication,Communication de Reconnection
61,Relinked,Reconnecté
62,Remember Last Selected Value,Se Souvenir de la Dernière Valeur Sélectionnée
63,Remote,À Distance
64,Remove {0} and delete all data?,Retirer {0} et supprimer toutes les données?
65,Remove Field,Supprimer le Champ
66,Remove item if charges is not applicable to that item,Retirer l'article si les charges ne lui sont pas applicable
67,remove-circle,retirez-cercle
68,remove-sign,retirez-signe
69,Removed {0},{0} Suprimé
70,Removed items with no change in quantity or value.,Les articles avec aucune modification de quantité ou de valeur ont étés retirés.
71,Rename Log,Journal des Changements de Nom
72,renamed from {0} to {1},renommé de {0} à {1}
73,Renew / Upgrade,Renouveler / Mettre à Niveau
74,Renew before: {0},Renouveler avant: {0}
75,Reorder level based on Warehouse,Niveau de réapprovisionnement basé sur l’Entrepôt
76,Repaid/Closed,Remboursé / Fermé
77,Repay Fixed Amount per Period,Rembourser un Montant Fixe par Période
78,Repay from Salary,Rembourser avec le Salaire
79,Repay Over Number of Periods,Rembourser Sur Nombre de Périodes
80,Repayment Info,Infos de Remboursement
81,Repayment Method,Méthode de Remboursement
82,Repayment Period in Months,Période de Remboursement en Mois
83,Repayment Schedule,Échéancier de Remboursement
84,Repeat Customer Revenue,Répéter Revenu Clientèle
85,Repeat Customers,Répéter Clients
86,Repeat Header and Footer in PDF,Répéter En-Tête et Pied de Page en PDF
87,"Repeats like ""aaa"" are easy to guess","Les répétitions comme ""aaa"" sont faciles à deviner"
88,"Repeats like ""abcabcabc"" are only slightly harder to guess than ""abc""","Les répétitions comme ""ABCABCABC"" sont seulement un peu plus difficiles à deviner que ""abc"""
89,"Replace a particular BOM in all other BOMs where it is used. It will replace the old BOM link, update cost and regenerate ""BOM Explosion Item"" table as per new BOM","Remplacer une LDM particulière dans tous les autres LDMs où elle est utilisée. Elle remplacera le lien vers l’ancienne LDM, mettra à jour les coûts et régénérera la table ""LDM - Article Explosé"""
90,Replace Item / BOM in all BOMs,Remplacer l’Article / LDM dans toutes les LDMs
91,Reply All,Répondre à Tous
92,Report Builder,Éditeur de Rapports
93,Report Builder reports are managed directly by the report builder. Nothing to do.,Les rapports de l’Éditeur de Rapports sont gérés directement par l’Éditeur de Rapports. Vous n’avez rien à faire.
94,Report cannot be set for Single types,Le Rapport ne peut pas être défini pour les types Uniques
95,Report Filters,Filtres du Rapport
96,Report Hide,Cacher le Rapport
97,Report of all document shares,Rapport de tous les partages de documents
98,Report Type is mandatory,Le Type de Rapport est nécessaire
99,Reports,Rapports
100,Represents a User in the system.,Représente un Utilisateur dans le système.
101,Represents the states allowed in one document and role assigned to change the state.,Représente les états permis dans un document et le rôle assigné pour changer cet état.
102,Reqd,Requis
103,Reqd By Date,Requis par Date
104,Request Feedback,Demander des Retours d’Expérience
105,Request for,Demander Pour
106,Request for Quotation,Appel d'Offre
107,"Request for Quotation is disabled to access from portal, for more check portal settings.","L’accès au portail est désactivé pour les Appels d’Offres. Pour plus d’informations, vérifiez les réglages du portail."
108,Request for Quotation Item,Article de l'Appel d'Offre
109,Request for Quotation Supplier,Fournisseur de l'Appel d'Offre
110,Request for quotation.,Appel d'Offre
111,Request for Quotations,Appel d’Offres
112,Request Timed Out,La Requête a Expirée
113,Requested Items To Be Ordered,Articles Demandés à Commander
114,Requested Items To Be Transferred,Articles Demandés à Transférer
115,Requesting payment against {0} {1} for amount {2},Demande de Paiement pour {0} {1} pour le montant {2}
116,Required,Obligatoire
117,Required by Date,Requis à cette Date
118,Required Date,Date Requise
119,Required Items,Articles Requis
120,Required only for sample item.,Requis uniquement pour les échantillons.
121,Resend,Renvoyer
122,Reserved for manufacturing,Réservé pour la Fabrication
123,Reserved for sale,Réservé à la Vente
124,Reserved Qty for Production,Qté Réservée pour la Production
125,Reserved Warehouse in Sales Order / Finished Goods Warehouse,Entrepôt Réservé aux Commandes Clients / Entrepôt de Produits Finis
126,Reset,Réinitialiser
127,Reset Password Key,Réinitialiser le Mot de Passe
128,resize-full,redimensionner-entièrement
129,resize-horizontal,redimensionner-horizontalement
130,resize-small,redimensionner-petit
131,resize-vertical,redimensionner-vertical
132,Resolution Details,Détails de la Résolution
133,Resource Owner Password Credentials,Mot de Passe du Propriétaire de la Ressource
134,Response Type,Type de Réponse
135,Responsibilities,Responsabilités
136,Restore,Restaurer
137,Restore Original Permissions,Restaurer les Autorisations Originales
138,Restore to default settings?,Restaurer les réglages par défaut ?
139,Restored,Restauré
140,restored {0} as {1},restauré(e) {0} comme {1}
141,Result HTML,Résultat HTML
142,Resume Attachment,Reprendre la Pièce Jointe
143,Resume Sending,Reprendre l’Envoi
144,Retail & Wholesale,Vente de Détail & en Gros
145,Retained Earnings,Bénéfices Non Répartis
146,Retirement Age,Âge de la Retraite
147,Return / Credit Note,Retour / Note de Crédit
148,Return / Debit Note,Retour / Note de Débit
149,Return Against Delivery Note,Retour contre Bon de Livraison
150,Return Against Purchase Invoice,Retour contre Facture d’Achat
151,Return Against Purchase Receipt,Retour contre Reçu d'Achat
152,Return Against Sales Invoice,Retour contre Facture de Vente
153,Returned Qty,Quantité Retournée
154,Returns,Retours
155,Reverse Icon Color,Inverser la Couleur de l'Icône
156,Reverting length to {0} for '{1}' in '{2}'; Setting the length as {3} will cause truncation of data.,Retour à la longueur {0} pour '{1}' dans '{2}'; Le réglage de la longueur comme {3} provoque la troncature des données.
157,Review Date,Date de Revue
158,Revoked,Révoqué
159,RFQ-,RFQ-
160,rgt,rgt
161,Right,Droit
162,Robots.txt,robots.txt
163,Role and Level,Rôle et Niveau
164,Role Permission for Page and Report,Autorisation du Rôle pour la Page et le Rapport
165,Role that is allowed to submit transactions that exceed credit limits set.,Rôle qui est autorisé à soumettre des transactions qui dépassent les limites de crédit fixées.
166,Roles Assigned,Rôles Assignés
167,Roles can be set for users from their User page.,Les rôles peuvent être définis pour les utilisateurs à partir de leur page Utilisateur .
168,Roles HTML,Rôles HTML
169,Roles Permission,Autorisations de Rôles
170,Root {0} cannot be deleted,Racine {0} ne peut pas être supprimée
171,Root cannot have a parent cost center,Racine ne peut pas avoir un centre de coûts parent
172,Root Type is mandatory,Le Type de Racine est obligatoire
173,Round Off,Arrondi
174,Round Off Account,Compte d’Arrondi
175,Round Off Cost Center,Centre de Coûts d’Arrondi
176,Route,Route
177,Row {0}: Activity Type is mandatory.,Ligne {0} : Le Type d'Activité est obligatoire.
178,Row {0}: Advance against Customer must be credit,Ligne {0} : L’Avance du Client doit être un crédit
179,Row {0}: Advance against Supplier must be debit,Ligne {0} : L’Avance du Fournisseur doit être un débit
180,Row {0}: Allocated amount {1} must be less than or equals to invoice outstanding amount {2},Ligne {0} : Le montant alloué {1} doit être inférieur ou égal au montant restant sur la Facture {2}
181,Row {0}: Allocated amount {1} must be less than or equals to Payment Entry amount {2},Ligne {0} : Le montant alloué {1} doit être inférieur ou égal au montant du Paiement {2}
182,Row {0}: An Reorder entry already exists for this warehouse {1},Ligne {0} : Une entrée de Réapprovisionnement existe déjà pour cet entrepôt {1}
183,Row {0}: Bill of Materials not found for the Item {1},Ligne {0} : Liste de Matériaux non trouvée pour l'élément {1}
184,Row {0}: Completed Qty cannot be more than {1} for operation {2},Ligne {0} : Qté Complété ne peut pas être supérieure à {1} pour l’opération {2}
185,Row {0}: Completed Qty must be greater than zero.,Ligne {0} : Qté Complétée doit être supérieure à zéro.
186,Row {0}: Credit entry can not be linked with a {1},Ligne {0} : L’Écriture de crédit ne peut pas être liée à un {1}
187,Row {0}: Currency of the BOM #{1} should be equal to the selected currency {2},Ligne {0} : La devise de la LDM #{1} doit être égale à la devise sélectionnée {2}
188,Row {0}: Debit entry can not be linked with a {1},Ligne {0} : L’Écriture de Débit ne peut pas être lié à un {1}
189,Row {0}: For supplier {0} Email Address is required to send email,Ligne {0} : Pour le fournisseur {0} une Adresse Email est nécessaire pour envoyer des email
190,Row {0}: From Time and To Time is mandatory.,Ligne {0} : Heure de Début et Heure de Fin obligatoires.
191,Row {0}: From Time and To Time of {1} is overlapping with {2},Ligne {0} : Heure de Début et Heure de Fin de {1} sont en conflit avec {2}
