,English,Français
0,S.O. No.,S.O. N°.
1,"Salary already processed for period between {0} and {1}, Leave application period cannot be between this date range.","Salaire déjà traité pour la période entre {0} et {1}, La période de demande de congé ne peut pas être entre cette plage de dates."
2,Salary breakup based on Earning and Deduction.,Détails du Salaire basés sur les Revenus et les Prélèvements.
3,Salary Component,Composante Salariale
4,Salary Component Account,Compte Composante Salariale
5,Salary Component for timesheet based payroll.,Composante Salariale pour la rémunération basée sur la feuille de temps
6,Salary Components,Composantes Salariales
7,Salary Detail,Détails du Salaire
8,Salary Mode,Mode de Rémunération
9,Salary Register,Registre du Salaire
10,Salary Slip,Fiche de Paie
11,Salary Slip Based on Timesheet,Fiche de Paie basée sur la Feuille de Temps
12,Salary Slip ID,ID Fiche de Paie
13,Salary Slip of employee {0} already created for this period,Fiche de Paie de l'employé {0} déjà créée pour cette période
14,Salary Slip of employee {0} already created for time sheet {1},Fiche de Paie de l'employé {0} déjà créée pour la feuille de temps {1}
15,Salary Slip Timesheet,Feuille de Temps de la Fiche de Paie
16,Salary Structure,Grille des Salaires
17,Salary Structure Employee,Grille des Salaires des Employés
18,Salary Structure Missing,Grille des Salaires Manquante
19,Salary template master.,Base du modèle de salaire.
20,Sales Invoice Payment,Paiement de la Facture de Vente
21,Sales Invoice Timesheet,Feuille de Temps de la Facture de Vente
22,Sales Invoice Trends,Tendances des Factures de Vente
23,Sales Order,Commande Client
24,Sales Order Item,Article de la Commande Client
25,Sales Order Message,Message de la Commande Client
26,Sales Order Required,Commande Client Requise
27,Sales Order required for Item {0},Commande Client requise pour l'Article {0}
28,Sales Order to Payment,De la Commande Client au Paiement
29,Sales Order Trends,Tendances des Commandes Client
30,Sales Orders,Commandes Clients
31,Sales Partner Name,Nom du Partenaire de Vente
32,Sales Partners Commission,Commission des Partenaires de Vente
33,Sales Person Target Variance Item Group-Wise,Variance d'Objectifs des Commerciaux par Groupe d'Articles
34,Sales Person Targets,Objectifs des Commerciaux
35,Sales Person-wise Transaction Summary,Résumé des Transactions par Commerciaux
36,Sales Tax Template,Modèle de la Taxe de Vente
37,Sales Taxes and Charges,Taxes et Frais de Vente
38,Sales Taxes and Charges Template,Modèle de Taxes et Frais de Vente
39,sales-browser,navigateur-ventes
40,Salse Order Date,Date de la Commande Client
41,Same item cannot be entered multiple times.,Le même article ne peut pas être entré plusieurs fois.
42,Same item has been entered multiple times,Le même article a été saisi plusieurs fois
43,Same supplier has been entered multiple times,Le même fournisseur a été saisi plusieurs fois
44,Sanctioned,Sanctionné
45,Scanned Cheque,Chèque Numérisé
46,Schedule,Calendrier
47,Schedule Course,Cours Calendrier
48,Scheduled to send,Prévu pour envoyer
49,Scheduled to send to {0} recipients,Prévu pour envoyer à {0} destinataires
50,Scheduler Last Event,Dernier Événement du Calendrier
51,Schedules,Horaires
52,Scheduling Tool,Outil de Planification
53,School House,Maison de l'École
54,Schools,Écoles
55,Scopes,Scopes
56,Score,Score
57,Score (0-5),Score (0-5)
58,Score cannot be greater than Maximum Score,Score ne peut pas être supérieure à Score maximum
59,Score Earned,Score Gagné
60,Scrap,Mettre au Rebut
61,Scrap %,% de Rebut
62,Scrap Items,Mettre au Rebut des Articles
63,Scrap Material Cost,Coût de Mise au Rebut des Matériaux
64,Scrap Material Cost(Company Currency),Coût de Mise au Rebut des Matériaux (Devise Société)
65,Scrap Warehouse,Entrepôt de Rebut
66,Scrapped,Mis au Rebut
67,Script Report,Rapport de Script
68,Script to attach to all web pages.,Script à joindre à toutes les pages web.
69,Search field {0} is not valid,Champ de recherche {0} n'est pas valide
70,Search Fields,Champs de recherche
