,English,Français
0,Table Field,Champ de Table
1,Table HTML,HTML de Table
2,Table updated,Table Mise à Jour
3,Tag Category,Catégorie de Tag
4,Tag Doc Category,Catégorie Doc de Tag
5,Tag Line,Ligne de Tag
6,Take Backup Now,Faites une Sauvegarde Maintenant
7,Target Detail,Détail Cible
8,Target Distribution,Distribution Cible
9,Target On,Cible Sur
10,Tariff Number,Tarif
11,Task Completion,Achèvement de la Tâche
12,Task Progress,Progression de la Tâche
13,Task Weight,Poids de la Tâche
14,Tax Amount After Discount Amount (Company Currency),Montant de la Taxe Après Remise (Devise Société)
15,Tax Category can not be 'Valuation' or 'Valuation and Total' as all items are non-stock items,"La Catégorie de Taxe ne peut pas être ‘Valorisation’ ou  ‘Valorisation et Total’,  car tous les articles sont des articles hors stock"
16,"Tax detail table fetched from item master as a string and stored in this field.
Used for Taxes and Charges",La table de détails de taxe est récupérée depuis les données de base de l'article comme une chaîne de caractères et stockée dans ce champ. Elle est utilisée pour les Taxes et Frais.
17,Tax Rule,Règle de Taxation
18,Tax Rule Conflicts with {0},Règle de Taxation est en Conflit avec {0}
19,Tax Rule for transactions.,Règle de Taxation pour les transactions.
20,Tax template for buying transactions.,Modèle de taxe pour les opérations d’achat.
21,Tax template for selling transactions.,Modèle de taxe pour les opérations de vente.
22,Tax Template is mandatory.,Un Modèle de Taxe est obligatoire.
23,Tax Type,Type de Taxe
24,Taxes and Charges Added,Taxes et Frais Additionnels
25,Taxes and Charges Added (Company Currency),Taxes et Frais Additionnels (Devise Société)
26,Taxes and Charges Calculation,Calcul des Frais et Taxes
27,Taxes and Charges Deducted,Taxes et Frais Déductibles
28,Taxes and Charges Deducted (Company Currency),Taxes et Frais Déductibles (Devise Société)
29,Team Members Heading,Titres des Membres de l’Équipe
30,Team Updates,Mises à Jour de l’Équipe
31,Temperorily Disabled,Temporairement Désactivé
32,Term End Date,Date de Fin du Terme
33,Term Name,Nom du Terme
34,Term Start Date,Date de Début du Terme
35,Terms and Conditions Help,Aides des Termes et Conditions
36,Terretory,Territoire
37,Test Runner,Exécuteur de Test
38,Test_Folder,Dossier_Test
39,Text Content,Contenu du Texte
40,text in document type,Texte dans le type de document
41,Text to be displayed for Link to Web Page if this form has a web page. Link route will be automatically generated based on `page_name` and `parent_website_route`,Texte à afficher pour le lien vers la page Web si ce formulaire dispose d'une page web. Le chemin du lien sera automatiquement généré sur la base des éléments `page_name` et `parent_website_route`
42,th,th
43,th-large,th-large
44,th-list,th-list
45,Thank you for your business!,Merci pour votre entreprise !
46,"The account head under Liability or Equity, in which Profit/Loss will be booked","Le titre du compte de Passif ou de Capitaux Propres, dans lequel les Bénéfices/Pertes seront comptabilisé"
47,The BOM which will be replaced,La LDM qui sera remplacée
48,The Condition '{0}' is invalid,La Condition '{0}' est invalide
49,The date on which next invoice will be generated. It is generated on submit.,La date à laquelle la prochaine facture sera générée. Elle est générée à la soumission.
50,The date on which recurring invoice will be stop,La date à laquelle la facture récurrente sera arrêtée
51,"The day of the month on which auto invoice will be generated e.g. 05, 28 etc.","Le jour du mois où la facture automatique sera générée. e.g. 05, 28, etc."
52,The day(s) on which you are applying for leave are holidays. You need not apply for leave.,Le(s) jour(s) pour le(s)quel(s) vous demandez un congé sont des jours fériés. Vous n’avez pas besoin d’effectuer de demande.
53,The first user will become the System Manager (you can change this later).,Le premier utilisateur deviendra le System Manager (vous pouvez changer cela plus tard).
54,The following Production Orders were created:,Les Ordres de Production suivants ont été créés:
55,The gross weight of the package. Usually net weight + packaging material weight. (for print),Le poids brut du colis. Habituellement poids net + poids du matériau d'emballage. (Pour l'impression)
56,The holiday on {0} is not between From Date and To Date,Le jour de vacances {0} n’est pas compris entre la Date Initiale et la Date Finale
57,"The intervals for Grade Code {0} overlaps with the grade intervals for other grades. 
                    Please check intervals {0} and {1} and try again",Les intervalles pour les Codes de Notation {0} chevauchent les intervalles de notation pour les autres notations. Veuillez vérifier les intervalles {0} et {1} et essayer à nouveau
58,The name of the institute for which you are setting up this system.,Le nom de l'institut pour lequel vous configurez ce système.
59,The new BOM after replacement,La nouvelle LDM après remplacement
60,The page you are looking for is missing. This could be because it is moved or there is a typo in the link.,La page que vous recherchez est manquante. Cela pourrait être dû au fait qu’elle a été déplacée ou il y a une faute de frappe dans le lien.
61,The request for quotation can be accessed by clicking on the following link,La demande de devis peut être consultée en cliquant sur le lien suivant
62,The resource you are looking for is not available,La ressource que vous recherchez n'est pas disponible
63,The selected BOMs are not for the same item,Les LDMs sélectionnées ne sont pas pour le même article
64,The selected item cannot have Batch,L'élément sélectionné ne peut pas avoir de Lot
65,The system provides many pre-defined roles. You can add new roles to set finer permissions.,Le système offre de nombreux rôles prédéfinis. Vous pouvez ajouter de nouveaux rôles pour définir des autorisations plus fines .
66,The Term End Date cannot be earlier than the Term Start Date. Please correct the dates and try again.,La Date de Fin de Terme ne peut pas être antérieure à la Date de Début de Terme. Veuillez corriger les dates et essayer à nouveau.
