,English,Français
0,"Warehouse {0} is not linked to any account, please create/link the corresponding (Asset) account for the warehouse.","Entrepôt {0} est pas liée à un compte, s'il vous plaît créer / lier le (Asset) compte correspondant de l'entrepôt."
1,Warehouse cannot be changed for Serial No.,Entrepôt ne peut être modifié pour le numéro de série
2,Warehouse company must be same as Account company,société d'entrepôt doit être le même que la compagnie compte
3,Warehouse is mandatory for non group Accounts of type Stock,Entrepôt est obligatoire pour les comptes non-groupe de type Stock
4,Warehouses with child nodes cannot be converted to ledger,Entrepôts avec nœuds enfants ne peuvent pas être convertis en ledger
5,Warehouses with existing transaction can not be converted to group.,Entrepôts avec transaction existants ne peuvent pas être convertis en groupe.
6,Warehouses with existing transaction can not be converted to ledger.,Entrepôts avec transaction existants ne peuvent pas être convertis en livre.
7,Warning: Another {0} # {1} exists against stock entry {2},Attention: Un autre {0} {1} # existe contre l'entrée en stock {2}
8,Warning: Sales Order {0} already exists against Customer's Purchase Order {1},Attention: Sales Order {0} existe déjà contre la commande d'achat du client {1}
9,Warning: System will not check overbilling since amount for Item {0} in {1} is zero,Attention : Le système ne vérifie pas la surfacturation depuis montant pour objet {0} dans {1} est nulle
10,Warning: Unable to find {0} in any table related to {1},Attention: Impossible de trouver {0} dans tout tableau relatif au {1}
11,Web Page Link Text,Page Web Link Text
12,Web View,Voir Web
13,Website Image {0} attached to Item {1} cannot be found,Site Web image {0} attaché à Point {1} ne peut pas être trouvé
14,Website Item Group,Groupe d'Articles du Site Web
15,Website Item Groups,Groupes d'articles du Site web
16,Website Manager,Responsable du Site Web
17,Website Sidebar,site Web Barre latérale
18,Website Sidebar Item,Site Sidebar Point
19,Website Slideshow Item,Point Diaporama site web
20,Website Specifications,Site Web Spécifications
21,Website Theme Image Link,Site Thème image Lien
22,Weekly Off,Hebdomadaire Off
23,"Weight is mentioned,\nPlease mention ""Weight UOM"" too","Poids est mentionné, \n S'il vous plaît mentionner ""Poids UOM« trop"
24,Weight UOM,Unité de Mesure de Poids
25,Weightage,Weightage
26,Weightage (%),Weightage (%)
27,Welcome to {0},Bienvenue sur {0}
28,What do you need help with?,Avec quoi as tu besoin d'aide?
29,Wheels,Roues
