,English,Français
0,{0} {1} not in any active Fiscal Year.,{0} {1} en aucun exercice financier actif.
1,{0} {1}: 'Profit and Loss' type account {2} not allowed in Opening Entry,"{0} {1}: Type compte {2} 'Profit and Loss ""pas admis dans l'entrée d'ouverture"
2,{0} has been successfully added to the Email Group.,{0} a été ajouté avec succès au groupe de messagerie.
3,{0} is not a valid Email Address,{0} est pas une adresse email valide
4,{0} Settings not found,{0} Réglages introuvables
5,> {0} year(s) ago,> {0} an (s)
6,"%s is not a valid report format. Report format should \
				one of the following %s",% S est pas un format de rapport valide. Rapport Format devrait \ 'un des% s suivantes
7,1 star being lowest & 5 stars being highest rating,1 étoile étant le plus bas et 5 étoiles étant meilleure note
8,1 weeks ago,Il y a 1 semaine
9,1 year ago,il y a 1 an
10,'From Date' must be after 'To Date','La date due' doit être antérieure à la 'Date'
11,'In List View' not allowed for type {0} in row {1},« Dans la vu en liste » n'est pas permis pour le type {0} à la ligne {1}
12,'To Case No.' cannot be less than 'From Case No.',«Le cas No ' ne peut pas être inférieure à 'Du Cas No'
13,'Update Stock' cannot be checked for fixed asset sale,«Mise à jour du stock» ne peut être vérifié pour la vente d'actifs immobilisés
14,"""Is Fixed Asset"" cannot be unchecked, as Asset record exists against the item","«Est un actif immobilisé"" ne peut être vérifié car il existe une entrée ""Actif"" pour cet élément"
15,"""Parent"" signifies the parent table in which this row must be added",«Parent» signifie la table parent dans lequel cette ligne doit être ajouté
16,[{0}](#Form/Item/{0}) is out of stock,[{0}] (#Form/item/{0}) est en rupture de stock
17,{{{0}}} is not a valid fieldname pattern. It should be {{field_name}}.,{{{0}}} n'est pas un motif de nom de champ valide. Il devrait être {{field_name}}.
18,{0} {1} cannot be a leaf node as it has children,{0} {1} ne peut pas être un nœud feuille car elle a des enfants
19,{0} {1} does not associated with {2} {3},{0} {1} n'a pas associée à {2} {3}
20,{0} {1} does not associated with Party Account {2},{0} {1} n'est pas associé à un compte auxiliaire {2}
21,{0} {1} does not exist,{0} {1} n'existe pas
22,{0} {1} has been modified. Please refresh.,{0} {1} a été modifié. S.V.P actualisez.
23,{0} {1} is cancelled or closed,{0} {1} est annulé ou fermé
24,{0} {1} is closed,{0} {1} est fermé
25,{0} {1} is disabled,{0} {1} est désactivé
26,{0} {1} is frozen,{0} {1} est gelée
27,{0} {1} is not active,{0} {1} n'est pas actif
28,{0} {1} must be submitted,{0} {1} doit être soumis
29,{0} {1} status is {2},{0} {1} statut est {2}
30,{0} {1} to {2},{0} {1} à {2}
31,{0} {1}: Account {2} cannot be a Group,{0} {1}: compte {2} ne peut pas être un groupe
32,{0} {1}: Account {2} does not belong to Company {3},{0} {1}: compte {2} ne fait pas partie de la société {3}
33,{0} {1}: Account {2} is inactive,{0} {1}: Le compte {2} est inactif
34,{0} {1}: Accounting Entry for {2} can only be made in currency: {3},{0} {1}: L'entrée comptable pour {2} ne peut être faite en devise: {3}
35,{0} {1}: Cost Center {2} does not belong to Company {3},{0} {1}: Le centre de coûts {2} ne fait pas partie de la Société {3}
36,{0} {1}: Cost Center is required for 'Profit and Loss' account {2}. Please set up a default Cost Center for the Company.,"{0} {1}: Centre de coûts est nécessaire pour compte ""profits et pertes"" {2}. S'il vous plaît mettre en place un centre de coûts par défaut pour la Société."
37,{0} {1}: Customer is required against Receivable account {2},{0} {1}: Client est tenu compte à recevoir contre {2}
38,{0} {1}: Either debit or credit amount is required for {2},{0} {1}: Soit débit ou montant du crédit est nécessaire pour {2}
39,{0} {1}: Supplier is required against Payable account {2},{0} {1}: Fournisseur est nécessaire contre les compte à payer {2}
40,{0} already allocated for Employee {1} for period {2} to {3},{0} déjà alloué pour les employés {1} pour la période {2} pour {3}
41,{0} already unsubscribed for {1} {2},{0} déjà désabonné pour {1} {2}
42,{0} are currently viewing this document,{0} sont en train de regarder ce document
43,{0} asset cannot be transferred,{0} actif ne peut pas être transféré
44,{0} Budget for Account {1} against {2} {3} is {4}. It will exceed by {5},{0} Le budget du compte {1} contre {2} {3} est {4}. Il dépassera de {5}
45,{0} Feedback Request,{0} Demande de retour d'expérience
