,English,Français
0,Year start date or end date is overlapping with {0}. To avoid please set company,Date de début ou de fin d'année chevauche avec {0}. Pour éviter s'il vous plaît définir la société
1,You are not allowed to create columns,Vous n'êtes pas autorisé à créer des colonnes
2,"You are selecting Sync Option as ALL, It will resync all \
				read as well as unread message from server. This may also cause the duplication\
				of Communication (emails).","Vous sélectionnez Sync option que tous, il resynchroniser tout \ lu ainsi que message non lu à partir du serveur. Cela peut également provoquer la duplication \ de communication (e-mails)."
3,You can find things by asking 'find orange in customers',Vous pouvez trouver des choses en demandant à 'trouver clients orange'
4,You can not change rate if BOM mentioned agianst any item,Vous ne pouvez pas modifier le taux si BOM mentionné agianst un article
5,You can not enter current voucher in 'Against Journal Entry' column,Vous ne pouvez pas entrer coupon courant dans «Contre Journal Entry 'colonne
6,You can use Customize Form to set levels on fields.,Vous pouvez utiliser le formulaire pour définir les niveaux de champs .
7,You cannot delete Fiscal Year {0}. Fiscal Year {0} is set as default in Global Settings,Vous ne pouvez pas supprimer l'exercice {0}. Exercice {0} est définie par défaut dans les paramètres globaux
8,You cannot like something that you created,Vous ne pouvez pas aimer quelque chose que vous avez créé
9,You did not apporve Dropbox Access.,Vous ne l'avez pas accès apporve Dropbox.
10,You do not have enough permissions to access this resource. Please contact your manager to get access.,Vous ne disposez pas de suffisamment d'autorisations pour accéder à cette ressource. S'il vous plaît contacter votre gestionnaire pour obtenir l'accès.
11,You do not have enough permissions to complete the action,Vous ne disposez pas de suffisamment d'autorisations pour mener à bien l'action
12,You have already selected items from {0} {1},Vous avez déjà choisi articles de {0} {1}
13,You have exceeded the max space of {0} for your plan. {1}.,Vous avez dépassé l'espace maximum de {0} pour votre plan. {1}.
14,You have made {0} of {1},Vous avez {0} de {1}
15,You need to be logged in to access this page,Vous devez être connecté pour pouvoir accéder à cette page
16,Your Feedback for document {0} is saved successfully,Vos commentaires pour le document {0} est sauvegarder avec succès
17,Your information has been submitted,Vos informations ont été soumis
18,Your payment was successfully accepted,Votre paiement a été accepté avec succès
19,Your rating:,Votre note:
20,Your subscription expired on {0},Votre abonnement a expiré le {0}
21,"Your subscription expired on {0}. To renew, {1}.","Votre abonnement a expiré le {0}. Pour renouveler, {1}."
